Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score,Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Taxation
m EUR","Cash Out(In)flow Investing Activ.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Acquisition & Disposal
m EUR","Equity Dividends Paid
m EUR","Management of Liquid Resources
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Asset Cover (x),Year,D/N
HAMILTON ROSS HOLDINGS LIMITED,No,No,No,No,No,ML11 7DZ,SC281166,64201,28/02/2021,Active,92,15/12/2021,Secure,0.9,"389,169",89,28/02/2020,Secure,HAMILTON ROSS HOLDINGS LIMITED,20,5.18,42,4.6,2.18,1.05,16.16,1,1.53,2.87,4.38,9.55,3.2,4.23,8.21,44.43,49.71,1.49,0.56,8.01,42.11,72.73,27.49,"2,957","57,110",1,0,0,,-2,,0,,1,0,20.99,2017,N
ROBINSON YOUNG HOLDINGS LIMITED,No,No,No,No,No,IP32 7AB,6524358,46499,31/12/2020,Active,92,30/09/2021,Secure,0.9,"315,187",95,31/12/2019,Secure,MR MICHAEL ROBINSON,14,-0.33,42,-0.33,-0.04,-0.01,14.7,1,0.19,0.69,25.9,76.13,0.93,10.15,5.25,69.55,49.51,1.09,0.75,,11.82,13.4,247.76,-77,"23,570",1,0,0,,0,,0,,-1,0,,2017,N
BRITANNIA HOLDINGS (UK) LIMITED,No,No,No,No,No,BN27 1DW,5406522,10821,31/12/2020,Active,92,06/10/2021,Secure,0.9,"546,197",92,31/12/2019,Secure,MR COLIN KENNETH MANSER,24,2.8,34,2.59,1.8,1.29,10.21,1,1.39,2.81,2.01,1.97,13.55,11.75,8.89,41.05,38.05,0.96,0.57,12.55,64.27,,29.02,"3,354","119,777",1,0,0,,0,,0,,0,0,19.53,2017,N
PURE TECHNOLOGY GROUP LIMITED,No,No,No,No,No,LS28 5QS,9536934,70100,31/05/2021,Active,89,20/09/2021,Secure,0.9,"276,936",97,31/05/2020,Secure,FULCRUM TECHNOLOGY GROUP B.V.,8,96.57,26,74.69,11.68,3.67,26.27,1,3.93,5.25,20.34,11.76,13.4,171.78,7.06,51.71,51.04,0.86,0.84,3.41,12.1,13.76,157.8,"12,016","12,443",1,0,0,,0,,-1,,0,0,33.34,2017,N
TFX GROUP LIMITED,No,No,No,No,No,HP9 1LJ,2884361,32990,31/12/2020,Active,99,08/12/2021,Secure,0.9,"702,834",92,31/12/2019,Secure,TELEFLEX INC,26,1.98,36,1.94,0.9,0.66,21.35,1,0.74,3.8,2.95,3.22,6.62,9.18,5.79,62.99,3.06,1.07,0.79,45.32,45.59,83.78,95.97,"5,450",,,,,,,,,,,,,2017,N
SUPERGLASS HOLDINGS LIMITED,No,No,No,No,No,EC4M 7WS,5423253,23140,31/12/2020,Active,33,20/05/2021,Caution,11.2,500,31,31/12/2019,Caution,MR SERGEY KOLESNIKOV,29,-56.36,27,-23.52,-16.51,-17.93,11.36,0,-16.45,3.44,1.31,1.61,-11.13,6.32,14.13,25.84,68.47,1.43,0.95,0.72,29.3,41.44,153.79,"-29,621","52,552",-2,0,,,-3,,,,7,1,316.44,2017,N
KINGERLEE HOLDINGS LIMITED,No,No,No,No,No,OX5 1HR,984588,68100,31/12/2020,Active,99,15/07/2021,Secure,0.9,"907,650",99,31/12/2019,Secure,KINGERLEE HOLDINGS LIMITED,35,4.52,35,4.24,3.1,3.14,10.53,1,1.03,1.67,1.35,1.67,5.37,4.33,9.69,37.66,42.48,1.52,0.68,15.28,68.57,,9.58,"10,973",,0,0,,,-1,,0,,0,-1,36.11,2017,N
AUTOHORN GROUP LIMITED,No,No,No,No,No,YO26 4XD,9656987,77110,31/12/2020,Active,92,27/09/2021,Secure,0.9,"1,226,000",92,31/12/2019,Secure,MR RICHARD JAMES BAINES,29,42.08,32,9.33,6.98,6.22,17.12,2,7.11,11.11,1.5,1.28,7.04,,63.07,5.79,30.06,0.49,0.49,0.29,16.59,19.89,434.55,"26,715","63,492",4,0,0,,-11,,0,,8,1,1.88,2017,N
AUTOHORN FLEET SERVICES LIMITED,No,No,No,No,No,YO26 4XD,3088452,77110,31/12/2020,Active,95,27/09/2021,Secure,0.9,"413,688",95,31/12/2019,Secure,MR RICHARD JAMES BAINES,27,68.53,32,9.94,7.26,6.03,16.99,2,7.06,11.07,1.65,1.43,6.85,,36.63,9.96,30.11,0.59,0.59,0.17,10.6,11.85,729.95,"25,886","37,775",,,,,,,,,,,1.75,2017,N
ACCEL PARTNERS LIMITED,No,No,No,No,No,W1S 2HR,4033881,64999,31/12/2020,Active,92,01/09/2021,Secure,0.9,"522,789",92,31/12/2019,Secure,ACCEL LONDON INTERMEDIATE (GUERNSEY) PARTNERSHIP,7,,30,,220.97,50.24,,,50.31,51.82,155.18,14.9,748.71,,,,4.48,0.73,0.73,,2.83,2.92,,"558,029","7,157",18,0,0,,0,,,,-15,2,,2017,N
ACCEL PARTNERS MANAGEMENT LLP,No,No,No,No,No,W1S 2HR,OC303424,66190,31/12/2020,Active,93,01/09/2021,Secure,0.9,"1,011,000",97,31/12/2019,Secure,ACCEL LONDON INTERMEDIATE (GUERNSEY) PARTNERSHIP,7,,30,442.14,150.24,33.4,,,50.2,51.3,13.24,15.93,637.14,,,,2.66,1.09,1.09,0.03,0.85,0.85,,"1,251,872","7,042",,,,,,,,,,,3.02,2017,N
RGA UK SERVICES LIMITED,No,No,No,No,No,EC2N 4BQ,3086510,65110,31/12/2020,Active,99,13/07/2021,Secure,0.9,"1,260,000",99,31/12/2019,Secure,REINSURANCE GROUP OF AMERICA INC.,28,17.79,38,17.79,8.48,6.21,12.24,2,6.21,10.84,2.87,3.42,,,,,,1.15,1.15,,47.64,91,17.62,"15,878","89,245",,,,,,,,,,,,2017,N
SOLIHULL COMMUNITY HOUSING LIMITED,No,No,No,No,No,B37 6BX,4462630,68201,31/03/2021,Active,88,06/12/2021,Secure,0.9,500,89,31/03/2020,Secure,,17,,47,30.23,18.66,6.94,,,8.04,8.17,4.35,19.87,7.3,375.95,26.57,13.74,8.58,2.26,2.24,-0.4,-41.19,,,"11,455",,3,0,0,,,,,,0,3,25.72,2017,N
HEBE OPCO LTD,No,No,No,No,No,B46 1JU,5636470,86220,31/08/2020,Active,28,21/10/2021,Caution,11.2,500,29,31/08/2019,Caution,HEBE TOPCO LTD,28,,32,-0.03,-0.01,-0.01,61.24,1,4.88,15.96,4.62,1.47,1,17.23,44.53,8.2,40.15,0.3,0.21,-0.53,-27.24,,,-4,,4,0,0,,-5,,,,0,-1,1.98,2017,N
MAKOR SECURITIES LONDON LTD,No,No,No,No,No,SW1Y 4AJ,9046174,64205,31/12/2020,Active,99,17/12/2021,Secure,0.9,"1,761,000",99,31/12/2019,Secure,MR MICHAEL ELIE HALIMI,12,58.66,31,57.88,26.85,9.92,42.23,1,9.93,10.28,5.83,124.45,,,97.82,3.73,23.09,1.82,1.82,74.34,45.77,84.41,25.49,"75,982","129,526",,,,,,,,,,,,2017,N
COMMODITIES RESEARCH UNIT INTERNATIONAL (HOLDINGS) LIMITED,No,No,No,No,No,NW1 8NL,2671997,82990,30/09/2020,Active,99,28/09/2021,Secure,0.9,"1,145,000",99,30/03/2019,Secure,MR ROBERT ABRAHAM PERLMAN,35,,35,19.68,8.53,8.53,49.38,1,9.69,12.59,2.31,6.26,7.29,309,5.47,66.76,10.7,1.48,1.48,-0.01,-0.34,,,"13,097",,1,0,0,,-1,,,,,0,,2017,N
POTTER CLARKSON LLP,No,No,No,No,No,NG1 5GG,OC315197,69102,31/12/2020,Active,92,21/06/2021,Secure,0.9,"926,896",85,31/12/2019,Secure,POTTER CLARKSON LLP,12,124.63,34,13.35,8.37,3.07,62.68,2,31.47,32.31,4.35,31.19,49.47,612.96,4.32,84.45,24.24,2.45,2.43,0.12,6.71,7.2,853.45,"6,651","5,337",10,0,0,,0,,-1,,-9,0,1.79,2017,N
BLOCK TECHNOLOGY HOLDINGS LIMITED,No,No,No,No,No,N1 7LB,9084882,64209,30/06/2021,Active,37,31/01/2022,Caution,4.2,"217,456",31,30/06/2020,Caution,MR MARC CHANG,13,,28,-25.17,3.06,1.43,33.66,1,1.47,3.7,,7.98,22.65,,7.39,49.4,25.72,0.65,0.65,-2.22,-22.1,,,"3,718",,6,0,0,,-3,,0,,-1,1,67.59,2017,N
PKF LITTLEJOHN LLP,No,No,No,No,No,E14 4HD,OC342572,69201,31/05/2021,Active,93,10/03/2022,Secure,0.9,"1,566,000",92,31/05/2020,Secure,PKF LITTLEJOHN LLP,15,234.57,28,90.8,46.93,25.4,88.51,1,25.57,26.61,3.57,135.46,152.82,,2.43,150.07,11.12,2.04,2.04,0.63,20.01,25.01,288.74,"35,523","15,144",7,0,0,,0,,,,-6,0,11.1,2017,N
CARDANO RISK MANAGEMENT LIMITED,No,No,No,No,No,EC3A 7BA,9050863,70221,31/12/2020,Active,97,16/09/2021,Secure,0.9,"3,350,000",92,31/12/2019,Secure,GEROLAMO HOLDING S.À R.L.,24,15.35,31,15.35,8.35,6.36,,,6.39,7.86,2.42,13.79,177.2,,5.98,61.02,10.52,1.98,1.98,,54.37,,18.98,"19,851","129,324",,,,,,,,,,,,2017,N
BARTLETT MITCHELL SERVICES LIMITED,No,No,No,No,No,RG6 1PT,9095649,70100,28/10/2020,Active,89,16/03/2022,Secure,0.9,"539,580",99,28/10/2019,Secure,CD&R DOCK JERSEY TOPCO LTD,14,26.58,45,21.64,5.72,1.83,7.27,1,1.83,2.61,11.86,10.1,264.51,120.49,6.75,54.06,30.39,0.94,0.9,4.39,21.54,27.45,30.02,"1,063","4,000",1,0,0,,-1,,0,,0,1,316.61,2017,N
24/26 HOLDINGS LTD,No,No,No,No,No,PA4 8WF,SC470528,70100,31/10/2020,Active,88,15/04/2021,Secure,0.9,"281,924",33,31/10/2019,Caution,24/26 HOLDINGS LTD,14,23.14,48,21.89,8.07,2.45,6.3,2,2.83,3.04,8.92,15.26,7.44,10.5,10.47,34.87,18.41,1.24,0.75,17.49,34.87,53.55,106.84,"53,175",,1,0,0,,0,,0,,0,0,,2017,N
APAX PARTNERS UK LTD,No,No,No,No,No,SW1Y 6DN,1342446,64999,31/03/2021,Active,88,02/08/2021,Secure,0.9,"635,817",92,31/03/2020,Secure,APAX PARTNERS LLP,25,103.87,28,103.87,5.92,5.26,,,5.18,,19.74,,96.74,,516.33,0.71,3,1.06,1.06,,5.7,6.05,,"16,985","16,352",,,,,,,,,,,,2017,N
GRESHAM HOUSE PLC,No,No,No,No,No,EC4A 3TW,871,68209,31/12/2020,Active,99,22/10/2021,Secure,0.9,"2,692,000",97,31/12/2019,Secure,GRESHAM HOUSE PLC,39,-8.54,7,-8.4,-7.06,-37.51,,,-29.55,-10.83,0.22,0.33,,,3.09,118.09,15.49,2.7,2.7,59.23,82.68,,1.69,"-85,271",,-2,0,0,8,,,,,2,8,,2017,N
AGE PARTNERSHIP GROUP LIMITED,No,No,No,No,No,LS15 8ZB,9073284,64205,31/12/2020,Active,73,05/10/2021,Stable,2.2,"104,814",68,31/12/2019,Stable,MR ANDREW ROBIN THIRKILL,7,149.46,41,148.93,49.12,7.94,,,7.94,9.01,18.75,35.66,,,35.48,10.29,8.86,1.23,1.23,279.57,32.86,48.95,0.51,"6,795","4,546",4,0,0,-1,,,-2,,,1,,2017,N
ENSCO 1066 LIMITED,No,No,No,No,No,CV34 6SN,8976175,70100,31/12/2020,Active,89,22/11/2021,Secure,0.9,"429,525",89,31/12/2019,Secure,ENSCO 1066 LIMITED,33,59.19,51,15.62,4.99,3.25,31.85,1,5.69,9.48,4.8,4.34,2.34,4.28,6.83,53.46,98.47,0.95,0.42,0.36,8.44,9.22,316.82,"17,940","30,306",6,-1,,,0,,,,-3,1,7.85,2017,N
PINSENT MASONS GERMANY LLP,No,No,No,No,No,EC2A 4ES,OC373389,69102,30/04/2020,"Active, in default",77,17/12/2021,Stable,2.2,"1,561,000",89,30/04/2019,Secure,,14,100,19,99.98,42.12,30.58,,,31.05,33.36,3.27,11.86,66.88,,3.6,101.33,2.17,1.53,1.53,,42.12,72.77,118.32,"78,004","78,004",,,,,,,,,,,,2017,N
AMIGO MANAGEMENT SERVICES LTD,No,No,No,No,No,BH2 5LT,5391984,64999,31/03/2021,Active,28,05/01/2022,Caution,11.2,500,34,31/03/2020,Caution,AMIGO HOLDINGS PLC,5,,44,,,,,,,,,43.05,,,,,15.47,0.79,0.79,,0.74,0.74,980,,123,,,,,,,,,,,,2017,N
RAMSDENS FINANCIAL LIMITED,No,No,No,No,No,TS8 0TJ,3045495,64999,30/09/2021,Active,97,14/02/2022,Secure,0.9,"1,731,000",99,30/09/2020,Secure,RAMSDENS HOLDINGS PLC,40,17.04,40,16.62,12.24,12.04,70.37,1,12.49,15.99,1.38,4.38,16.86,6.47,4.47,81.74,35.11,2.91,2.32,39.59,71.83,,19.48,"8,769","51,465",6,0,-1,-1,,,-3,,-1,1,,2017,N
IQSA (ATHENA) LIMITED,No,No,No,No,No,SE1 2QG,10037481,68209,30/09/2020,Active,30,21/02/2022,Caution,11.2,"17,389",86,30/09/2019,Secure,"GOLDMAN SACHS GROUP, INC",47,77.03,31,77.03,1.31,1.5,21.27,1,1.5,,51.24,,,,21.86,16.69,2.81,1.02,1.02,,1.7,1.73,374.18,,,,,,,,,,,,,,2017,N
READYPOWER RAIL SERVICES LIMITED,No,No,No,No,No,RG41 5TP,2681963,77320,31/03/2021,Active,99,17/01/2022,Secure,0.9,"2,052,000",99,31/03/2020,Secure,THE PUBLIC SECTOR PENSION INVESTMENT BOARD,51,40.14,37,28.82,25.77,35.36,47.37,4,35.61,42.59,0.82,3.03,94.97,,5.28,69.19,17.26,7.18,7.18,2.55,64.21,,39.27,"69,599","173,379",-10,0,,,-2,,-3,,11,-5,4.11,2017,N
PGIM REAL ESTATE (UK) LIMITED,No,No,No,No,No,WC2N 5HR,3205768,64999,31/12/2020,Active,97,27/09/2021,Secure,0.9,"1,654,000",85,31/12/2019,Secure,PRUDENTIAL FINANCIAL INC.,12,38.2,11,38.2,36.21,40.84,,,40.84,,0.94,,,,,,,19.17,19.17,,94.78,,0.67,,,,,,,,,,,,,,2017,N
HEYWOOD WILLIAMS COMPONENTS LIMITED,No,No,No,No,No,BD5 8JX,2523354,70100,31/12/2020,Active,95,12/04/2021,Secure,0.9,"916,114",95,31/12/2019,Secure,ARRAN ISLE LIMITED,38,4.98,46,4.76,3.28,2.69,1.89,,1.89,3.33,1.77,12.54,8.82,4.82,7.72,47.29,57.07,2.9,2.09,21.46,65.84,,14.2,"8,282","166,232",,,,,,,,,,,33.21,2017,N
PEXION LIMITED,No,No,No,No,No,PR7 2BE,2033029,70100,31/12/2020,Active,85,18/10/2021,Secure,0.9,"291,122",95,31/12/2019,Secure,PEXION LIMITED,38,-10.83,29,-2.13,-1.39,-1.84,36.94,1,0.28,8.96,1.16,1.13,0.13,7.31,4.03,90.64,37.36,0.96,0.66,0.24,12.84,14.73,433.56,"-1,522","14,050",5,-1,0,,-8,,,,4,0,3.46,2017,N
SPECTRUM MEDICAL GROUP LIMITED,No,No,No,No,No,GL2 9QL,9762837,64202,31/12/2020,Active,88,04/10/2021,Secure,0.9,"520,793",92,31/12/2019,Secure,MR STEPHEN BRIAN TURNER,18,,10,105.15,-36.59,-64.78,77.13,1,-59.32,-48.7,,3.13,-10.75,2.02,10.3,35.44,59.59,0.61,0.4,,-35.95,,,"-67,500",,-4,-1,,,-5,,-2,,9,-2,107.85,2017,N
FENMARC HOLDINGS LIMITED,No,No,No,No,No,PE14 0EG,9654155,70100,27/06/2020,Active,92,06/04/2021,Secure,0.9,"428,280",92,27/06/2019,Secure,MR MARK ANTHONY HARROD,17,22.39,42,18.83,6.82,2.71,15.1,1,2.83,4.04,6.94,10.7,24.02,76.15,7.02,51.98,42.73,1.2,1.15,5.29,30.47,43.83,110.9,"5,675","25,345",0,0,0,,-2,,-1,,3,0,17.82,2017,N
VEALE WASBROUGH VIZARDS LLP,No,No,No,No,No,BS1 4QA,OC384033,69102,30/04/2021,Active,93,06/12/2021,Secure,0.9,"1,544,000",93,30/04/2020,Secure,VEALE WASBROUGH VIZARDS LLP,18,,39,3.76,2.32,1.11,,,26.8,28.37,3.37,10.68,2.63,,3.18,114.88,4.06,2.11,2.11,0,-0.07,,,"1,097",,10,0,,,-1,,,,-9,0,1.63,2017,N
LCC TRANS-SENDING LIMITED,No,No,No,No,No,SE1 8NL,4363859,64999,30/06/2020,Active,89,21/01/2021,Secure,0.9,"1,046,000",97,30/06/2019,Secure,SW TOPCO LIMITED,48,2.89,36,2.89,0.9,1.21,41.01,1,-0.22,0.48,2.4,2.76,2.79,,3.18,114.7,202.92,1.06,1.06,,31.18,45.31,76.66,"1,625","56,235",,,,,,,,,,,,2017,N
THE ENVIRONMENTAL & PROCESS ENGINEERING GROUP LIMITED,No,No,No,No,No,SO15 0LD,5702342,43210,30/09/2020,Active,99,13/01/2021,Secure,0.9,"826,613",77,30/09/2019,Stable,MR LEE PICKERING,14,-27.81,39,-27.81,-4.79,-1.77,23.57,1,-1.7,-0.46,15.76,10.9,-26.36,38.52,4.59,79.54,56.91,0.91,0.82,,17.23,20.82,157.32,"-5,027","18,076",-3,0,,,0,,0,,-1,-4,,2017,N
H R JASPER & SON (HOLDINGS) LIMITED,No,No,No,No,No,PL15 7JL,7554572,70229,31/03/2021,Active,97,29/12/2021,Secure,0.9,"441,177",92,31/03/2020,Secure,H R JASPER & SON (HOLDINGS) LIMITED,10,3.81,37,3.61,2.93,0.79,7.84,1,0.8,1.36,4.6,5.96,56.61,119.9,12.19,29.95,15.93,1.99,1.82,18.31,76.99,,5.89,"2,874","75,387",1,,,,0,,,,0,0,,2017,N
O'NEILL PATIENT SOLICITORS LLP,No,No,No,No,No,SK1 3GG,OC322650,69102,31/12/2020,Active,89,29/11/2021,Secure,0.9,"1,240,000",93,31/12/2019,Secure,INFLEXION BUYOUT FUND V,14,,30,,,,,,34.39,35.32,2.99,15.73,1,,31.75,11.5,11.89,3.02,3.02,,,,,,,,,,,,,,,,,1.4,2017,N
BRYAN GARNIER & CO. LIMITED,No,No,No,No,No,SW1H 9HP,3034095,66120,31/12/2020,Active,95,20/10/2021,Secure,0.9,"406,207",97,31/12/2019,Secure,BRYAN GARNIER CAPITAL HOLDING B.V.,13,0.87,24,0.73,0.37,0.21,79.85,1,1.46,2.13,3.55,7.33,1.16,,6.21,58.75,14.74,1.53,1.53,5.02,42.2,73.02,38.68,677,"77,364",-3,0,,,0,,,,0,-3,11.89,2017,N
JAMES HAY HOLDINGS LIMITED,No,No,No,No,No,SP2 7BF,2506374,64205,31/12/2020,Active,47,13/10/2021,Normal,4.2,"636,516",55,31/12/2019,Normal,SAINTMICHELCO LIMITED,40,-1.36,44,-1.36,-0.85,-0.77,,,-3.32,1.91,1.77,1.12,,,,,,0.02,0.02,816.89,62.66,,53.38,-587,"43,140",2,1,0,-2,,,-1,,,0,,2017,N
ALUPACK HOLDINGS LIMITED,No,No,No,No,No,B25 8HE,4316677,25920,31/12/2020,Active,89,20/09/2021,Secure,0.9,"85,179",88,31/12/2019,Secure,EURO PACKAGING JERSEY LIMITED,17,20.08,28,8.24,3.3,2.02,21.56,2,8.39,10.16,4.09,6.05,3.68,6,5.2,70.17,70.18,1.22,0.76,0.7,16.45,19.7,285.96,"3,874","19,291",0,,0,,0,,,,0,-1,4.4,2017,N
HARRISON CLARK RICKERBYS LIMITED,No,No,No,No,No,WR1 2JG,7033248,69102,31/03/2021,Active,97,13/01/2022,Secure,0.9,"2,105,000",89,31/03/2020,Secure,HARRISON CLARK RICKERBYS LIMITED,24,55.4,33,42.87,19.01,14.12,,,13.43,18.63,3.04,3.2,40.54,665.45,3.41,106.94,1.62,1.04,1.04,3.42,34.32,52.25,74.85,"29,739","53,678",4,0,-1,,-1,,-2,,1,2,22.18,2017,N
FARALLON CAPITAL EUROPE LLP,No,No,No,No,No,WC2H 9EA,OC308897,66190,31/03/2021,Active,55,22/12/2021,Normal,4.2,"610,786",88,31/03/2020,Secure,,2,,47,,,85.28,,,84.76,84.92,21.84,134.78,,,773.96,0.47,,7.06,7.06,7.13,77.04,,14.03,,,40,0,,,-40,,,,,0,9.25,2017,N
EUROPEAN COFFEE CORPORATION LIMITED,No,No,No,No,No,LU5 4LT,3424255,64209,31/12/2020,Active,99,25/08/2021,Secure,0.9,"805,524",99,31/12/2019,Secure,MRS ANNE ROTHFOS,27,4.97,52,4.35,2.88,1.5,,,1.64,2.3,2.89,19.15,11.77,5.05,6.66,54.83,13.13,2.67,1.55,6.91,57.97,,57.02,"12,898",,4,,,,0,,,,,3,12.94,2017,N
THE KESWICK ENTERPRISES GROUP LIMITED,No,No,No,No,No,IG8 8HD,5161212,70229,31/12/2020,Active,97,19/07/2021,Secure,0.9,"138,134",89,31/12/2019,Secure,MR JOHN ANTHONY HARVEY,15,2.27,38,2.02,1.04,0.42,24.11,1,0.72,3.59,4.8,7.4,2.57,54.04,11.38,32.07,40.9,1.38,1.28,8.22,46.04,85.32,18.71,950,"41,843",2,0,0,,5,,,,-3,5,34.38,2017,N
J.H. MOORE & SON (RICKMANSWORTH) LIMITED,No,No,No,No,No,DE24 9GL,653350,30920,31/01/2021,Active,99,06/09/2021,Secure,0.9,"1,427,000",95,31/01/2020,Secure,J.H. MOORE & SON (RICKMANSWORTH) LIMITED,22,1.36,22,1.36,1.11,1.15,27.19,1,1.41,2.17,1.19,4.97,5.35,1.87,7.02,52.03,31.38,4.33,1.55,,81.41,,,"2,381","174,621",1,0,,,0,,0,,,1,,2017,N
DLA PIPER MIDDLE EAST LLP,No,No,No,No,No,EC1A 4HT,OC314942,69102,30/04/2021,Active,67,08/03/2022,Stable,1.8,"774,563",74,30/04/2020,Stable,DLA PIPER MIDDLE EAST LLP,41,580.36,40,82.07,27.12,27.84,,,29.01,29.95,2.95,23.28,24.73,,1.89,192.97,12.44,1.43,1.43,0.16,4.67,4.9,,"89,719","15,459",,,,,,,,,,,5.54,2017,N
POWER ELECTRICS (BRISTOL) LIMITED,No,No,No,No,No,BS30 8TY,776704,77390,31/03/2021,Active,99,04/01/2022,Secure,0.9,"1,061,000",99,31/03/2020,Secure,POWER ELECTRICS (BRISTOL) LIMITED,38,27.08,47,21.84,11.93,9.73,32.4,1,9.6,16.48,2.24,2.76,44.98,13.45,5.74,63.57,51.44,1.22,1.02,4.17,44.08,78.82,42.23,"21,319","78,734",8,0,-1,,0,,-1,,-4,4,19.92,2017,N
DAMS HOLDINGS LIMITED,No,No,No,No,No,L33 7SG,10049656,70100,27/09/2020,Active,99,11/06/2021,Secure,0.9,"1,013,000",95,27/09/2019,Secure,DAMS HOLDINGS LIMITED,32,14.61,44,13.67,10.51,7.55,23.6,1,7.56,11.9,1.81,2.84,504.81,9.84,5.73,63.75,37.06,2.2,1.59,14.5,71.93,,10.44,"13,583","92,956",3,0,,,0,,-2,,-1,0,,2017,N
GENERATION MEDIA LIMITED,No,No,No,No,No,RG9 2LT,4342267,73110,31/03/2021,Active,99,04/03/2022,Secure,0.9,"376,029",97,31/03/2020,Secure,MR DEAN CORNEL WELLER,11,41.9,35,19.31,13.81,4.31,11.73,2,4.41,5.09,4.48,5.72,31.88,,22.54,16.19,17.88,1.54,1.54,0.86,32.97,49.19,121.18,"75,362","179,864",3,0,0,,-1,,0,,0,1,2.65,2017,N
TRU7 LIMITED,No,No,No,No,No,IP5 2PE,341968,45190,31/03/2021,Active,99,09/02/2022,Secure,0.9,"828,135",99,31/03/2020,Secure,MR GUY JOHN NICHOLLS,18,,,,,,,,,,,,,,,,,0.74,0.63,2.7,44.78,81.09,96.15,,,,,,,,,,,,,6.68,2017,N
KEYSTONE DEVELOPMENTS (LG) LIMITED,No,No,No,No,No,PE21 7TQ,4285612,41202,31/03/2021,Active,95,14/10/2021,Secure,0.9,"185,248",86,31/03/2020,Secure,,25,69.25,26,5.45,3.41,3.28,3.75,8,3.27,,1.66,,,1.24,,,9.99,2.67,0.43,0.09,4.92,5.18,,,,,,,,,,,,,,1.74,2017,N
LINDAL HOLDINGS LIMITED,No,No,No,No,No,LU7 4UH,3284403,70100,31/12/2020,Active,95,29/09/2021,Secure,0.9,"793,400",95,31/12/2019,Secure,FAMILIE H.P. LILIENTHAL GMBH,25,29.78,50,29.36,18.99,9.33,,,9.38,12.36,3.15,7.02,160.23,13.78,4.33,84.2,18.44,2.01,1.59,69.15,63.76,,22.42,"33,798","113,478",4,0,0,,-1,,-1,,-4,-2,,2017,N
TOWERBROOK CAPITAL PARTNERS LIMITED,No,No,No,No,No,SW1Y 4AH,5333342,70229,31/12/2020,Active,92,15/09/2021,Secure,0.9,"1,173,000",95,31/12/2019,Secure,,15,,24,86.29,41.58,26.44,,,26.41,27.78,3.26,6.34,,,,,,1.45,1.45,0.01,0.32,0.32,,"186,919","1,425",11,0,0,,-3,,,,-7,1,,2017,N
TOWERBROOK CAPITAL PARTNERS (U.K.) LLP,No,No,No,No,No,SW1Y 4AH,OC311344,66190,31/12/2020,Active,89,15/09/2021,Secure,0.9,"1,748,000",92,31/12/2019,Secure,TOWERBROOK CAPITAL PARTNERS (U.K.) LLP,15,81.47,24,81.47,41.53,26.5,,,26.48,28.16,3.07,6.34,,,,,,1.54,1.54,,50.98,,,"205,517",,11,0,,,-3,,,,-7,1,,2017,N
ELSHAM WOLD ESTATES LIMITED,No,No,No,No,No,DN20 0SP,6277364,70229,31/01/2021,Active,97,04/11/2021,Secure,0.9,"1,476,000",97,31/01/2020,Secure,MR SIMON HERRING,27,19.29,37,13.42,9.03,6.58,26.85,1,7.62,9.61,2.04,3.02,7.26,6.97,8.36,43.65,51.96,1.67,1.06,2.29,46.83,88.09,59.84,"24,583","127,469",4,0,0,,-1,,-1,,-1,1,6.33,2017,N
WIGGIN LLP,No,No,No,No,No,GL50 3WG,OC308767,69102,31/03/2021,Active,99,06/01/2022,Secure,0.9,"1,550,000",97,31/03/2020,Secure,WIGGIN LLP,17,,25,0.6,0.37,0.25,,,45.07,47.59,2.44,9.54,1.15,,2.99,122.04,17.72,2.17,2.17,,,,,593,,11,0,,,-2,,,,-6,2,1.67,2017,N
BHSF LIMITED,No,No,No,No,No,B16 8PE,35500,65120,31/12/2020,Active,29,22/12/2021,Caution,11.2,"500,414",95,31/12/2019,Secure,BHSF GROUP LIMITED,39,3.79,42,3.42,3.06,2.84,,,2.84,3.28,1.2,1.39,,,19.75,18.48,10.81,2.15,2.15,9.19,80.62,,18.7,"25,337",,,,,,,,,,,,,2017,N
MWL INTERNATIONAL LIMITED,No,No,No,No,No,GU6 8JE,3727171,66120,31/03/2021,Active,99,29/12/2021,Secure,0.9,"173,253",89,31/03/2020,Secure,MWL INTERNATIONAL LIMITED,11,,,,,,,,,,,,,,,,,2.16,2.16,208.31,61.28,,1.07,,,,,,,,,,,,,339.95,2017,N
